pathway	external_id	source	hgnc_symbol_ids
Alanine, aspartate and glutamate metabolism - Homo sapiens (human)	path:hsa00250	KEGG	NIT2,ASNS,GLUL,ABAT,ADSL,GLS,ASS1,GAD1,GAD2,CAD,ASPA,GOT2,ASRGL1,GOT1,ASL,RIMKLA,RIMKLB,DDO,GFPT1,GPT,ALDH4A1,AGXT2,NAT8L,IL4I1,GOT1L1,GPT2,AGXT,GLUD2,GLUD1,PPAT,ADSS2,ADSS1,ALDH5A1,GFPT2,FOLH1,CPS1,GLS2
Folate biosynthesis - Homo sapiens (human)	path:hsa00790	KEGG	PCBD2,MOCOS,PCBD1,MOCS2,MOCS1,DHFR2,PAH,AKR1C3,AKR1B10,SPR,CBR1,DHFR,TH,PTS,GGH,QDPR,TPH1,TPH2,FPGS,AKR1B1,GPHN,ALPP,GCH1,ALPG,ALPI,ALPL
Complement and coagulation cascades - Homo sapiens (human)	path:hsa04610	KEGG	F8,KNG1,F11,CD55,C1QC,VSIG4,CD59,PROS1,C1QB,C8A,C8B,SERPING1,C1QA,C8G,KLKB1,F13A1,CFHR3,A2M,MBL2,SERPINA1,F10,F2RL2,SERPINA5,SERPINC1,C4BPA,C4BPB,TFPI,CR2,F7,SERPINE1,C9,CPB2,C4A,C4B,PLAUR,C3,C2,FGG,C7,FGA,FGB,PROCR,CFHR2,ITGAX,CFHR1,PLAT,CFHR5,F13B,CD46,PLAU,VTN,C5AR1,C1S,CR1,CFHR4,SERPINF2,F12,CLU,THBD,SERPINB2,SERPIND1,BDKRB1,F2,BDKRB2,F5,CFH,CFI,CR1L,C3AR1,CFD,F3,CFB,MASP1,MASP2,C6,PLG,F2R,ITGB2,C5,ITGAM,F9,F2RL3,C1R,VWF,PROC
Citrate cycle (TCA cycle) - Homo sapiens (human)	path:hsa00020	KEGG	PCK2,PCK1,CS,MDH2,MDH1,FH,IDH3A,OGDH,IDH3B,IDH3G,PC,PDHB,OGDHL,PDHA2,PDHA1,DLD,IDH2,IDH1,SUCLG2,SUCLG1,ACO1,ACO2,DLST,SUCLA2,DLAT,SDHA,ACLY,SDHC,SDHB,SDHD
Renin-angiotensin system - Homo sapiens (human)	path:hsa04614	KEGG	ACE,REN,AGT,ENPEP,CPA3,ATP6AP2,NLN,LNPEP,CTSA,MRGPRD,CTSG,KLK1,KLK2,MAS1,ACE2,THOP1,CMA1,ANPEP,MME,AGTR2,AGTR1,PRCP,PREP
Primary immunodeficiency - Homo sapiens (human)	path:hsa05340	KEGG	IL7R,TAP1,TAP2,CD40LG,ADA,RFXANK,CD4,LCK,IKBKG,DCLRE1C,CD79A,CIITA,JAK3,BLNK,ICOS,ORAI1,CD40,RAG2,RAG1,UNG,CD8A,ZAP70,CD8B,TNFRSF13B,TNFRSF13C,RFXAP,AIRE,IL2RG,RFX5,CD8B2,CD3E,PTPRC,IGLL1,CD3D,AICDA,BTK,CD19
Apoptosis - multiple species - Homo sapiens (human)	path:hsa04215	KEGG	BCL2L1,PMAIP1,BIRC7,BIRC6,BIRC5,BIRC3,BIRC2,BAX,XIAP,BOK,MAPK10,NGFR,BBC3,CASP9,HTRA2,DIABLO,BCL2L11,BID,FADD,MAPK8,MAPK9,APAF1,BECN1,BECN2,CYCS,CASP7,CASP3,TNFRSF1A,CASP8,BAK1,SEPTIN4,BCL2
Tryptophan metabolism - Homo sapiens (human)	path:hsa00380	KEGG	IDO2,AOX1,IDO1,INMT,ALDH3A2,CAT,DHTKD1,DDC,HAAO,ECHS1,AANAT,HADH,GCDH,KYNU,CYP1B1,ASMT,HADHA,AFMID,ACAT1,ACAT2,KYAT1,IL4I1,KYAT3,KMO,TDO2,AADAT,DLD,ALDH8A1,TPH1,TPH2,ALDH9A1,ALDH7A1,ALDH1B1,EHHADH,ACMSD,CYP1A1,CYP1A2,DLST,ALDH2,MAOB,MAOA,AOC1
Prion disease - Homo sapiens (human)	path:hsa05020	KEGG	HSPA2,MT-CO2,CREB3L3,HSPA6,NDUFB9,NDUFB8,NDUFB7,NDUFB6,NDUFB5,NDUFB4,NDUFB3,NDUFB2,NDUFB1,UQCRQ,CASP12,MT-CO3,UQCRH,HSPA5,CAV2,CAV3,CAV1,NDUFAB1,MT-ND1,TUBA3C,MT-ND3,TUBA3E,TUBA3D,MT-ND6,RYR1,PIK3CA,RYR3,RYR2,PIK3CD,NDUFB11,NDUFB10,MCU,MT-ATP8,NDUFA11,NDUFA12,NDUFA13,GRIN1,CACNA1S,CREB3L1,DDIT3,SOD1,CREB5,CREB3,SLC25A6,CREB1,SLC25A4,HSPA8,SLC25A31,MAPK1,PSMD14,COX6A1,PSMC2,CSNK2A1,COX6A2,GRIN2B,TUBB4B,TUBB4A,KIF5C,C1QC,C1QB,C1QA,GSK3B,ATF4,MT-CO1,PSMD3,KIF5A,KLC1,UQCRFS1,KLC3,KLC4,KIF5B,UQCRC1,CCL5,MAPK13,COX8C,PRNP,VDAC2,COX6B1,COX6B2,VDAC1,COX7B2,UQCRC2,TUBA1C,TUBA1B,TUBA1A,EGR1,MT-ND4L,MT-CYB,UQCRHL,PIK3R3,PIK3R2,PIK3R1,PPP3R2,COX6C,GRIN2A,CSNK2A3,TUBB8,TUBB6,COX8A,TUBB3,CACNA1C,TUBB1,MT-ND2,PPIF,ITPR2,ITPR3,COX7A2,ITPR1,TUBB2A,KLC2,CSNK2A2,TUBB2B,ATP5PO,ATP5F1D,ATP5F1E,ATP5PF,CREB3L4,PSMD11,TUBB,PSMD13,PSMD12,CYBA,NDUFC2-KCTD14,PIK3CB,PPP3R1,ATP5F1A,NCF2,NCF1,TUBA8,NCF4,CACNA1D,C8B,MT-ND4,MAPK14,CACNA1B,MAPK10,CACNA1F,MAPK12,COX7A1,VDAC3,IL1A,IL1B,NCAM1,NCAM2,PSMD8,NDUFV3,NDUFV2,NDUFV1,LAMC1,MAPK3,PPP3CB,MT-ND5,PSMA2,PSMA3,C9,PSMA1,PSMA6,PSMA7,PSMA4,PSMA5,NDUFA10,PSMA8,MAPK9,C7,C6,C5,NDUFA6,NDUFA7,NDUFA4,NDUFA5,NDUFA2,NDUFA3,NDUFA1,ATP5F1C,ADRM1,NDUFA8,NDUFA9,COX4I2,COX4I1,TUBAL3,CYCS,COX7C,MT-ATP6,C8A,EIF2AK3,HSPA1A,UQCRB,IL6,ATP5PD,PRKACG,PRKACA,APAF1,PRKACB,PSMB7,PSMB6,PSMB5,PSMB4,PSMB3,PSMB2,PSMB1,COX7B,PSMD9,COX5A,COX5B,UQCR10,PSMD4,PSMD7,PSMD6,PSMD1,BAX,PSMD2,HSPA1B,BAD,ATP5PB,ATP5F1B,C8G,ATP5MC1,ATP5MC3,ATP5MC2,EIF2S1,STIP1,HSPA1L,CREB3L2,GRIN2C,FYN,GRIN3A,GRIN3B,MAPK11,PSMC1,NDUFA4L2,PSMC3,PSMC4,PSMC5,PSMC6,MAPK8,NDUFC1,NDUFC2,RAC2,GRIN2D,RAC1,PRKCD,CYBB,SDHA,TNF,SLC25A5,CSNK2B,TUBA4A,ATF6B,SEM1,COX7A2L,PPP3CC,CASP3,CYC1,NOTCH1,CASP9,UQCR11,NDUFS1,NDUFS2,NDUFS3,NDUFS4,NDUFS5,NDUFS6,NDUFS7,NDUFS8,PPP3CA,SDHC,SDHB,SDHD,ATF2
Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)	path:hsa05022	KEGG	PPP3R2,HSPA5,NDUFAB1,PPP3R1,PRNP,GABARAP,PIK3R4,MT-ATP8,MT-ATP6,TARDBP,WIPI2,CAMK2G,CAMK2A,CAMK2B,NDUFB2,PIK3C3,COX6A1,COX6A2,TUBB4B,TUBB4A,PRPH,BAK1,WNT3,KLC1,KLC2,KLC3,KLC4,WNT1,HSD17B10,ATP2A1,ATP2A2,ATP2A3,RPS27A,FZD10,COX7B2,DNAI1,WDR41,ATXN3L,DNAI2,TANK,GRM5,GRM1,DLG4,CSNK1A1,PSMD14,PSMD11,PSMD13,CSNK2B,GPX1,FRAT1,GPX3,GPX2,GPX5,GPX7,GPX6,GPX8,ATXN2,ATXN3,ATXN1,VAPB,DCTN2,DCTN3,UBE2J2,DCTN1,DCTN6,HTRA2,DCTN5,NDUFV3,NDUFV2,NDUFV1,DNALI1,WNT9A,COX4I2,COX4I1,PSMD3,COX7C,PSMD2,GRIN1,DNAH7,SMCR8,PSMD8,BAD,ATP5F1D,PSMD9,COX5A,COX5B,ACTR10,PSMD4,PSMD7,PSMD6,PSMD1,BAX,CAT,CTNNB1,PLCG1,CALML5,ATP5MC1,ATP5MC3,ATP5MC2,EIF2S1,CAMK2D,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,NOS1,NDUFC2,WIPI1,PARK7,APC2,SEM1,ATP5F1A,HAP1,DKK4,DKK2,DKK1,MAP3K10,ACTR1B,ACTR1A,NEFL,PPP3CA,PPP3CB,PPP3CC,DNAL1,MT-CO1,MT-CO2,MT-CO3,CAPN1,NEFH,ARAF,MT-ND1,MT-ND2,MT-ND3,TUBA3E,MT-ND5,MT-ND6,WNT10A,WNT10B,NDUFA10,NDUFA11,NDUFA12,FADD,RELA,RAB5A,IFT57,NDUFA4L2,APP,CSF1,UBA52,APC,UQCRFS1,WNT7A,UQCRC1,FUS,NDUFC1,NOS2,PINK1,COX6B1,COX6B2,MT-ND4L,DERL1,FIG4,COX6C,MT-CYB,FZD3,COX7A1,COX7A2,TUBB2A,TUBB2B,DNAH2,DNAH3,DNAH1,DNAH6,TBK1,DNAH5,CALML3,ATP5F1E,DNAH8,DNAH9,TUBB,ATP5F1B,ATP5F1C,WNT3A,TRPC3,SNCAIP,PSEN2,PSEN1,SQSTM1,RAB1A,AMBRA1,MTOR,ATXN2L,MFN2,MFN1,CDK5,UQCR10,UQCR11,PRKN,HIP1,GABARAPL1,AXIN2,AXIN1,GABARAPL2,BID,DVL2,DVL3,DVL1,WNT9B,MAPT,RAC1,PRKCA,CHRM5,PRKCB,CHRM3,CHRM1,VCP,TUBA4A,DNAL4,SPG11,MCU,SLC6A3,DNAH14,TOMM40,UBE2J1,NDUFB9,NDUFB8,NDUFB7,NDUFB6,NDUFB5,NDUFB4,NDUFB3,AGER,NDUFB1,UQCRQ,UQCRH,UQCRB,GPR37,CALM2,CALM3,CALM1,CACNA1B,CACNA1C,CACNA1D,CACNA1F,MAP3K5,CACNA1S,SLC25A6,SLC25A5,SLC25A4,KIF5A,KIF5B,KIF5C,GRIA2,GRIA3,HRAS,GRIA1,GRIA4,BECN1,DAXX,CDK5R1,PLCB1,PLCB2,PLCB3,PLCB4,TUBB8,BECN2,TUBB6,TUBB3,TUBB1,UBA7,TUBA3C,ATG14,UBA1,MT-ND4,TUBA3D,ATP5PO,TNFRSF1B,GNAQ,TNFRSF1A,ATP5PD,ATP5PF,ATP5PB,ATG13,NDUFC2-KCTD14,STX1A,VDAC3,IL1A,VDAC1,RAF1,CALML4,OPTN,ATXN1L,PSMA2,PSMA3,PSMA1,PSMA6,PSMA7,PSMA4,PSMA5,PSMA8,ERN1,NDUFA6,NDUFA7,NDUFA4,NDUFA5,NDUFA2,NDUFA3,NDUFA1,NDUFA13,NDUFA8,NDUFA9,UCHL1,NRBF2,LRP6,LRP5,TPTEP2-CSNK1E,WNT2,EIF2AK3,WNT6,WNT4,IL6,C9orf72,PPIF,PPID,COX7B,SIGMAR1,ATG101,CYCS,MAP2K3,MAP2K2,MAP2K1,MAP2K7,MAP2K6,RB1CC1,PSMD12,SPTBN2,NEFM,FAS,FRAT2,XBP1,WNT2B,CASP7,CASP3,CYC1,CASP8,CASP9,NDUFS1,NDUFS2,NDUFS3,NDUFS4,NDUFS5,NDUFS6,NDUFS7,NDUFS8,BCL2,BCL2L1,PTGS2,DNAH17,DNAH10,DNAH11,DNAH12,CCS,CHMP2B,CASP12,CALML6,ZFYVE1,BDNF,RYR1,RYR3,RYR2,NDUFB11,NDUFB10,CSNK1E,COX8C,CAPN2,COX8A,DDIT3,SOD1,FASLG,ATG2A,ATG2B,CSNK2A3,CSNK2A2,CSNK2A1,KRAS,GSK3B,UBB,UBC,NOX1,SLC25A31,UBE2L3,VDAC2,IL1B,LRRK2,TRAP1,TUBA1C,TUBA1B,TUBA1A,UQCRHL,DCTN4,PRKCG,ITPR2,ITPR3,ITPR1,CYBB,TUBAL3,UQCRC2,HTT,SNCA,WNT5B,WNT5A,WNT7B,TUBA8,TOMM40L,MAPK14,MAPK10,MAPK11,MAPK12,MAPK13,FZD1,FZD2,RAB8A,FZD4,FZD5,FZD6,FZD7,FZD8,FZD9,MAPK3,MAPK1,NFKB1,MAPK8,MAPK9,APAF1,CHRNA7,UBE2L6,CSNK1A1L,SEPTIN5,PSMB7,PSMB6,PSMB5,PSMB4,PSMB3,PSMB2,PSMB1,NOX4,RAB39B,PDYN,NRAS,WNT8A,WNT8B,UBE2G2,UBE2G1,ADRM1,ULK2,TRAF2,ULK1,ALS2,TNF,WNT16,COX7A2L,ATF6,GRIN2B,GRIN2C,GRIN2A,BRAF,GRIN2D,SDHA,ATF4,SDHC,SDHB,SDHD,WNT11
